,modality,abcd_structure,abcd_description,atlas_description,atlas,atlas_value,atlas_fname
smri_area_cdk_parahpallh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI lh-parahippocampal,ctx-lh-parahippocampal,Desikan,1016,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_paracnlh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI lh-paracentral,ctx-lh-paracentral,Desikan,1017,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_parsopclh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI lh-parsopercularis,ctx-lh-parsopercularis,Desikan,1018,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_parsobislh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI lh-parsorbitalis,ctx-lh-parsorbitalis,Desikan,1019,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_parstgrislh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI lh-parstriangularis,ctx-lh-parstriangularis,Desikan,1020,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_pericclh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI lh-pericalcarine,ctx-lh-pericalcarine,Desikan,1021,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_postcnlh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI lh-postcentral,ctx-lh-postcentral,Desikan,1022,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_ptcatelh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI lh-posteriorcingulate,ctx-lh-posteriorcingulate,Desikan,1023,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_precnlh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI lh-precentral,ctx-lh-precentral,Desikan,1024,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_pclh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI lh-precuneus,ctx-lh-precuneus,Desikan,1025,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_rracatelh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI lh-rostralanteriorcingulate,ctx-lh-rostralanteriorcingulate,Desikan,1026,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_rrmdfrlh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI lh-rostralmiddlefrontal,ctx-lh-rostralmiddlefrontal,Desikan,1027,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_sufrlh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI lh-superiorfrontal,ctx-lh-superiorfrontal,Desikan,1028,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_supllh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI lh-superiorparietal,ctx-lh-superiorparietal,Desikan,1029,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_sutmlh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI lh-superiortemporal,ctx-lh-superiortemporal,Desikan,1030,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_smlh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI lh-supramarginal,ctx-lh-supramarginal,Desikan,1031,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_frpolelh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI lh-frontalpole,ctx-lh-frontalpole,Desikan,1032,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_tmpolelh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI lh-temporalpole,ctx-lh-temporalpole,Desikan,1033,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_trvtmlh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI lh-transversetemporal,ctx-lh-transversetemporal,Desikan,1034,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_insulalh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI lh-insula,ctx-lh-insula,Desikan,1035,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_banksstsrh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI rh-Banks of Superior Temporal Sulcus,ctx-rh-bankssts,Desikan,2001,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_cdacaterh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI rh-caudalanteriorcingulate,ctx-rh-caudalanteriorcingulate,Desikan,2002,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_cdmdfrrh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI rh-caudalmiddlefrontal,ctx-rh-caudalmiddlefrontal,Desikan,2003,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_cuneusrh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI rh-cuneus,ctx-rh-cuneus,Desikan,2005,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_ehinalrh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI rh-entorhinal,ctx-rh-entorhinal,Desikan,2006,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_fusiformrh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI rh-fusiform,ctx-rh-fusiform,Desikan,2007,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_ifplrh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI rh-inferiorparietal,ctx-rh-inferiorparietal,Desikan,2008,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_iftmrh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI rh-inferiortemporal,ctx-rh-inferiortemporal,Desikan,2009,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_ihcaterh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI rh-isthmuscingulate,ctx-rh-isthmuscingulate,Desikan,2010,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_loccrh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI rh-lateraloccipital,ctx-rh-lateraloccipital,Desikan,2011,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_lobfrrh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI rh-lateralorbitofrontal,ctx-rh-lateralorbitofrontal,Desikan,2012,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_lingualrh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI rh-lingual,ctx-rh-lingual,Desikan,2013,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_mobfrrh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI rh-medialorbitofrontal,ctx-rh-medialorbitofrontal,Desikan,2014,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_mdtmrh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI rh-middletemporal,ctx-rh-middletemporal,Desikan,2015,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_parahpalrh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI rh-parahippocampal,ctx-rh-parahippocampal,Desikan,2016,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_paracnrh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI rh-paracentral,ctx-rh-paracentral,Desikan,2017,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_parsopcrh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI rh-parsopercularis,ctx-rh-parsopercularis,Desikan,2018,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_parsobisrh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI rh-parsorbitalis,ctx-rh-parsorbitalis,Desikan,2019,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_parstgrisrh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI rh-parstriangularis,ctx-rh-parstriangularis,Desikan,2020,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_periccrh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI rh-pericalcarine,ctx-rh-pericalcarine,Desikan,2021,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_postcnrh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI rh-postcentral,ctx-rh-postcentral,Desikan,2022,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_ptcaterh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI rh-posteriorcingulate,ctx-rh-posteriorcingulate,Desikan,2023,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_precnrh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI rh-precentral,ctx-rh-precentral,Desikan,2024,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_pcrh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI rh-precuneus,ctx-rh-precuneus,Desikan,2025,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_rracaterh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI rh-rostralanteriorcingulate,ctx-rh-rostralanteriorcingulate,Desikan,2026,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_rrmdfrrh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI rh-rostralmiddlefrontal,ctx-rh-rostralmiddlefrontal,Desikan,2027,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_sufrrh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI rh-superiorfrontal,ctx-rh-superiorfrontal,Desikan,2028,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_suplrh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI rh-superiorparietal,ctx-rh-superiorparietal,Desikan,2029,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_sutmrh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI rh-superiortemporal,ctx-rh-superiortemporal,Desikan,2030,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_smrh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI rh-supramarginal,ctx-rh-supramarginal,Desikan,2031,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_frpolerh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI rh-frontalpole,ctx-rh-frontalpole,Desikan,2032,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_tmpolerh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI rh-temporalpole,ctx-rh-temporalpole,Desikan,2033,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_trvtmrh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI rh-transversetemporal,ctx-rh-transversetemporal,Desikan,2034,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_area_cdk_insularh,smri,abcd_smrip10201,Cortical area in mm^2 of APARC ROI rh-insula,ctx-rh-insula,Desikan,2035,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_banksstslh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI lh-Banks of Superior Temporal Sulcus,ctx-lh-bankssts,Desikan,1001,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_cdacatelh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI lh-caudalanteriorcingulate,ctx-lh-caudalanteriorcingulate,Desikan,1002,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_cdmdfrlh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI lh-caudalmiddlefrontal,ctx-lh-caudalmiddlefrontal,Desikan,1003,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_cuneuslh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI lh-cuneus,ctx-lh-cuneus,Desikan,1005,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_ehinallh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI lh-entorhinal,ctx-lh-entorhinal,Desikan,1006,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_fusiformlh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI lh-fusiform,ctx-lh-fusiform,Desikan,1007,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_ifpllh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI lh-inferiorparietal,ctx-lh-inferiorparietal,Desikan,1008,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_iftmlh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI lh-inferiortemporal,ctx-lh-inferiortemporal,Desikan,1009,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_ihcatelh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI lh-isthmuscingulate,ctx-lh-isthmuscingulate,Desikan,1010,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_locclh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI lh-lateraloccipital,ctx-lh-lateraloccipital,Desikan,1011,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_lobfrlh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI lh-lateralorbitofrontal,ctx-lh-lateralorbitofrontal,Desikan,1012,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_linguallh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI lh-lingual,ctx-lh-lingual,Desikan,1013,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_mobfrlh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI lh-medialorbitofrontal,ctx-lh-medialorbitofrontal,Desikan,1014,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_mdtmlh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI lh-middletemporal,ctx-lh-middletemporal,Desikan,1015,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_parahpallh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI lh-parahippocampal,ctx-lh-parahippocampal,Desikan,1016,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_paracnlh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI lh-paracentral,ctx-lh-paracentral,Desikan,1017,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_parsopclh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI lh-parsopercularis,ctx-lh-parsopercularis,Desikan,1018,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_parsobislh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI lh-parsorbitalis,ctx-lh-parsorbitalis,Desikan,1019,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_parstgrislh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI lh-parstriangularis,ctx-lh-parstriangularis,Desikan,1020,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_pericclh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI lh-pericalcarine,ctx-lh-pericalcarine,Desikan,1021,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_postcnlh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI lh-postcentral,ctx-lh-postcentral,Desikan,1022,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_ptcatelh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI lh-posteriorcingulate,ctx-lh-posteriorcingulate,Desikan,1023,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_precnlh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI lh-precentral,ctx-lh-precentral,Desikan,1024,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_pclh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI lh-precuneus,ctx-lh-precuneus,Desikan,1025,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_rracatelh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI lh-rostralanteriorcingulate,ctx-lh-rostralanteriorcingulate,Desikan,1026,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_rrmdfrlh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI lh-rostralmiddlefrontal,ctx-lh-rostralmiddlefrontal,Desikan,1027,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_sufrlh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI lh-superiorfrontal,ctx-lh-superiorfrontal,Desikan,1028,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_supllh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI lh-superiorparietal,ctx-lh-superiorparietal,Desikan,1029,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_sutmlh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI lh-superiortemporal,ctx-lh-superiortemporal,Desikan,1030,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_smlh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI lh-supramarginal,ctx-lh-supramarginal,Desikan,1031,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_frpolelh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI lh-frontalpole,ctx-lh-frontalpole,Desikan,1032,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_tmpolelh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI lh-temporalpole,ctx-lh-temporalpole,Desikan,1033,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_trvtmlh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI lh-transversetemporal,ctx-lh-transversetemporal,Desikan,1034,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_insulalh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI lh-insula,ctx-lh-insula,Desikan,1035,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_banksstsrh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI rh-Banks of Superior Temporal Sulcus,ctx-rh-bankssts,Desikan,2001,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_cdacaterh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI rh-caudalanteriorcingulate,ctx-rh-caudalanteriorcingulate,Desikan,2002,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_cdmdfrrh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI rh-caudalmiddlefrontal,ctx-rh-caudalmiddlefrontal,Desikan,2003,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_cuneusrh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI rh-cuneus,ctx-rh-cuneus,Desikan,2005,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_ehinalrh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI rh-entorhinal,ctx-rh-entorhinal,Desikan,2006,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_fusiformrh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI rh-fusiform,ctx-rh-fusiform,Desikan,2007,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_ifplrh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI rh-inferiorparietal,ctx-rh-inferiorparietal,Desikan,2008,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_iftmrh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI rh-inferiortemporal,ctx-rh-inferiortemporal,Desikan,2009,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_ihcaterh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI rh-isthmuscingulate,ctx-rh-isthmuscingulate,Desikan,2010,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_loccrh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI rh-lateraloccipital,ctx-rh-lateraloccipital,Desikan,2011,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_lobfrrh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI rh-lateralorbitofrontal,ctx-rh-lateralorbitofrontal,Desikan,2012,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_lingualrh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI rh-lingual,ctx-rh-lingual,Desikan,2013,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_mobfrrh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI rh-medialorbitofrontal,ctx-rh-medialorbitofrontal,Desikan,2014,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_mdtmrh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI rh-middletemporal,ctx-rh-middletemporal,Desikan,2015,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
smri_thick_cdk_parahpalrh,smri,abcd_smrip10201,Cortical thickness in mm of APARC ROI rh-parahippocampal,ctx-rh-parahippocampal,Desikan,2016,/Users/katherine.b/nilearn_data/neurovault/collection_1446/image_23262.nii.gz
